Altium Designer Pick and Place Locations
D:\personal projects\Arduino UNO R3\Arduino UNO R3.V2\Project Outputs for Arduino\Pick Place\Pick Place for Arduino.txt

========================================================================================================================
File Design Information:

Date:       20-04-26
Time:       19:01
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

Designator Comment         Layer    Footprint                        Center-X(mil) Center-Y(mil) Rotation Description                                                                                                                                 
ZU4        ATMEGA328P-AU   TopLayer QFP80P900X900X120-32N            1948.819      580.709       0        "MICROCHIP - ATMEGA328P-AU. - MICROCONTROLLER MCU, 8 BIT, ATMEGA, 20MHZ, TQFP-32"                                                           
Z2         CG0603MLC-05E   TopLayer VARC1608X55N                     688.976       1744.094      270      "Varistor, ESD Protector, 5VDC,20V,0603 Bourns MLC Series Power Varistor 0.5pF 20V 0603 Case"                                               
Z1         CG0603MLC-05E   TopLayer VARC1608X55N                     866.142       1744.094      270      "Varistor, ESD Protector, 5VDC,20V,0603 Bourns MLC Series Power Varistor 0.5pF 20V 0603 Case"                                               
XT         CSTCE16M0V53-R0 TopLayer CSTCE-V                          1624.016      480.315       90       "Ceramic resonator SMT CSTCE 16.00MHz CSTCE16M0V53-R0, Ceramic Resonator, 16MHz Expander 15pF, 3-Pin Cap Chip, 3.2 x 1.3 x 0.9mm"           
XT1        16MHz           TopLayer MODEL-445                        620.079       1545.276      90       "Crystals 16MHz +/-30ppm 18pF -40C +85C"                                                                                                    
X2         USB_B_TH        TopLayer 17340351                         210.630       1978.347      0        "AMP - TE CONNECTIVITY - 1734035-1. - MINI USB, 2.0 TYPE B, RECEPTACLE, SMT"                                                                
X1         DC21MMX         TopLayer USBBSRA                          566.339       551.181       270      "MULTICOMP - USB-B-S-RA - USB, 2.0 TYPE B, RECEPTACLE, TH"                                                                                  
U5A        LMV358IDGKR     TopLayer SOP65P490X110-8N                 1407.480      403.543       0        "OP Amp Dual GP R-R O/P 5.5V 8-Pin MSOP Texas Instruments LMV358IDGKR, Dual Op Amp, 1MHz CMOS, Rail to Rail, 3 V, 5 V, 8-Pin MSOP"          
U3         ATMEGA16U2-MU   TopLayer QFN50P500X500X100-33N-D          915.354       1427.165      0        "8-bit Microcontrollers - MCU AVR USB 8K FLASH AVR USB 16K FLASH"                                                                           
U2         LP2985          TopLayer SOT95P280X145-5N                 954.724       246.063       0        "150-mA Low-noise Low-dropout Regulator With Shutdown"                                                                                      
U1         NCP1117ST50T3G  TopLayer SOT230P700X180-4N                944.882       925.197       0        "ON SEMICONDUCTOR - NCP1117ST50T3G - LDO, REG, 20VIN, 1A, 5V, 1%, SOT223-3"                                                                 
T1         FDN340P         TopLayer SOT95P251X112-3N                 1161.417      423.228       0        "FDN340P, P-channel MOSFET Transistor 2 A 20 V, 3-Pin SuperSOT"                                                                             
RESET      TS42031         TopLayer SOT95P240X110-3N                 1791.339      935.039       180      "3.3V EconoReset with Pushbutton"                                                                                                           
R2         1M              TopLayer RESC1608X55N                     1692.913      492.126       90       "TE CONNECTIVITY - CPF0603B1M0E1 - RES, THIN FILM, 1M, 0.1%, 0.063W, 0603"                                                                  
R1         1M              TopLayer RESC1608X55N                     738.189       1545.276      90       "TE CONNECTIVITY - CPF0603B1M0E1 - RES, THIN FILM, 1M, 0.1%, 0.063W, 0603"                                                                  
POWER      8X1F-H8.5       TopLayer HDRV8W90P0X254_1X8_2032X249X560P 988.583       98.425        180      "8 way single row straight header Molex C-GRID III Series, Series Number 90120, 2.54mm Pitch 8 Way 1 Row Straight Pin Header, Through Hole" 
PC2        47uF            TopLayer CAPAE530X610N                    1271.653      887.795       90       "Aluminum Electrolytic Capacitors - SMD 47uF 35volts 5x5.8mm SMD"                                                                           
PC1        47uF            TopLayer CAPAE530X610N                    954.724       649.606       180      "Aluminum Electrolytic Capacitors - SMD 47uF 35volts 5x5.8mm SMD"                                                                           
L          Red             TopLayer SML522MD8WT86                    1299.213      565.453       90       "Dual color mini-mold Chip LED: ROHM's chip LED lineup consists of standard type,top-view type, side-view type and reverse-mount type."     
LED1       "RXTX LED"      TopLayer SML522MD8WT86                    836.614       1206.201      270      "Dual color mini-mold Chip LED: ROHM's chip LED lineup consists of standard type,top-view type, side-view type and reverse-mount type."     
L1         BLM21BD601SH1D  TopLayer BEADC2012X105N                   974.409       1712.598      90       "Chip Ferrite Bead 600R 0805 300mA 1LN"                                                                                                     
JP2        "2X2 M"         TopLayer HDRV4W77P254_2X2_467X488X821P    1231.102      1416.535      0        "AMP - TE CONNECTIVITY - 5-146256-2 - CONNECTOR, HEADER, 4 POSITION, 2ROWS, 2.54MM"                                                         
IOL        8X1F-H8.5       TopLayer HDRV8W90P0X254_1X8_2032X249X560P 1969.291      98.425        0        "8 way single row straight header Molex C-GRID III Series, Series Number 90120, 2.54mm Pitch 8 Way 1 Row Straight Pin Header, Through Hole" 
ICSP       "3X2 M"         TopLayer HDRV8W90P0X254_1X8_2032X249X560P 1998.819      2175.197      180      "8 way single row straight header Molex C-GRID III Series, Series Number 90120, 2.54mm Pitch 8 Way 1 Row Straight Pin Header, Through Hole" 
ICSP1      "8X1 M"         TopLayer HDRV8W90P0X254_1X8_2032X249X560P 1027.953      2175.197      180      "8 way single row straight header Molex C-GRID III Series, Series Number 90120, 2.54mm Pitch 8 Way 1 Row Straight Pin Header, Through Hole" 
I0H        10X1F-H8.5      TopLayer FTMH10503LDV                     2381.890      324.803       270      "Header 1mm PCB SMT vertical 10way Samtec FTMH Series, 1mm Pitch 10 Way 2 Row Straight Pin Header, Surface Mount, Solder Termination"       
F1         MF-MSMF050      TopLayer FUSC4632X75N                     669.291       1988.189      0        "Littelfuse 0.5A Resettable Surface Mount Fuse, 30V dc"                                                                                     
D3         CD1206-S01575   TopLayer DIOC3016X65N                     1200.787      1604.331      180      "Diode Switching 100V 0.15A 4ns SMD1206 Bourns CD1206-S01575 Switching Diode, 150mA, 100V, 4ns, 2-Pin 1206"                                 
D2         CD1206-S01575   TopLayer DIOC3016X65N                     1933.071      935.039       270      "Diode Switching 100V 0.15A 4ns SMD1206 Bourns CD1206-S01575 Switching Diode, 150mA, 100V, 4ns, 2-Pin 1206"                                 
D1         CD1206-S01575   TopLayer DIOC3016X65N                     875.984       462.598       180      "Diode Switching 100V 0.15A 4ns SMD1206 Bourns CD1206-S01575 Switching Diode, 150mA, 100V, 4ns, 2-Pin 1206"                                 
C11        22pF            TopLayer CAPC2012X70N                     511.811       1486.220      270      "MURATA - GRM2165C1H220JZ01D - CAP, MLCC, C0G/NP0, 22PF, 50V, 0805"                                                                         
